,0
2677,AL-QAEDA IN THE SOUTH ARABIC PENINSULA
2678,AL-QAEDA IN YEMEN
2679,AL-QAIDA ORGANIZATION IN THE ARABIAN PENINSULA
2680,AL-QAIDA IN THE SOUTH OF THE ARABIAN PENINSULA
2681,AL-QAIDA I YEMEN
2682,AL-QAIDA IN THE ARABIAN PENINSULA
2683,AL-QAIDA IN THE SOUTHERN ARABIAN PENINSULA
2684,AL-QAEDA IN YEMEN
2685,AL-QA'IDA ORGANIZATION OF THE ARABIAN PENINSULA
2686,AL-QA'IDA OF THE SOUTHERN ARABIAN PENINSULA
2687,AL-QA'IDA YEMEN
2688,AL-QAIDA ORGANIZATION FIL-PENIŻOLA GĦARBIJA
2689,AL-QAIDA FIL-PENIŻOLA T'ISFEL GĦARBIJA
2690,AL-QAIDA FIL-JEMEN
2691,ORGANIZATION IN THE ARABIAN PENINSULA AL-QAEDA
2692,AL-QAEDA IN THE SOUTHERN PART OF THE ARABIAN PENINSULA
2693,AL-QAEDA IN YEMEN
2694,AL-QAEDA IN THE ARABIAN PENINSULA
2695,AL-QAEDA FROM THE SOUTHERN PART OF THE ARAB PENINSULA
2696,AL-QAIDA FROM JEMNA
2697,AL-QAIDA ORGANIZATION IN THE ARABIAN PENINSULA
2698,AL-QAIDA IN THE SOUTHERN ARABIAN PENINSULA
2699,AL-QAIDA DIN YEMEN
2700,ANSAR AL-SHARI'A
2701,AAS
2702,MUTHANNA HARITH AL-DARI
2703,MUTHANNA AL DARI
2704,MUTHANA HARITH AL OF
2705,MUTHANNA HARITH SULAYMAN AL-DARI
2706,MUTHANNA HARITH SULAYMAN AL-DHARI
2707,MUTHANNA HARETH AL-DHARI
2708,MUTHANA HARIS AL-DHARI
2709,DOCTOR MUTHANNA HARITH SULAYMAN AL DARI AL-ZAWBA’
2710,MUTHANNA HARITH SULAYMAN AL-DARI AL-ZOBAI
2711,MUTHANNA HARITH SULAYMAN AL-DARI AL-ZAWBA'I
2712,MUTHANNA HARETH AL-DARI
2713,MUTHANA HARIS AL-DARI
2714,MUTHANNA AL-DARI
2715,DR. MUTHANNA HARITH AL-DARI AL-ZOWBAI
2716,JEAN-CLAUDE PIVI
2717,COPLAN PIVI
2718,MOUSSA TIÉGBORO CAMARA
2719,MOUSSA THIEGBORO CAMARA
2720,ABDOULAYE CHÉRIF DIABY
2721,ABOUBACAR CHÉRIF DIAKITÉ
2722,TOUMBA DIAKITÉ
2723,RYOM YONG
2724,렴영
2725,CHON CHI BU
2726,CHON CHI-BU
2727,전지부
2728,KIM TONG-UN
2729,KIM TONG UN
2730,김동운
2731,O KUK-RYOL
2732,O KUK RYOL
2733,오극렬
2734,SE-BONG PAEK
2735,SE BONG PAEK
2736,THEN JAE-GYONG
2737,PAK CHAE-KYONG
2738,PAK JAE GYONG
2739,박재경
2740,HASSAN DAHIR AWEYS
2741,SHEIKH HASSAN DAHIR AWEYS ALI
2742,HASSAN DAHIR AWES
2743,SHAYKH HASSAN DAHIR AWES
2744,HASSEN DAHIR AWEYES
2745,AHMED DAHIR AWEYS
2746,SHEIKH AWEYS
2747,SHEIKH HASSAN DAHIR AWEYS
2748,AWEYS HASSAN DAHIR
2749,MOHAMMED HASSAN IBRAHIM
2750,HASSAN TAHIR OAIS
2751,HASSAN TAHIR UWAYS
2752,SHEIKH HASSAN
2753,HASSAN ABDULLAH HERSI AL-TURKI
2754,HASSAN - AL-TURKI
2755,HASSAN TURKEY
2756,HASSAN ABDILLAHI HERSI TURKEY
2757,SHEIKH HASSAN TURKEY
2758,XASAN CABDILAAHI XIRSI
2759,XASAN CABDULLE XIRSI
2760,YONGBYON NUCLEAR RESEARCH CENTRE
2761,녕변 원자력 연구소 영변 원자력 연구소
2762,YONGBYON NUCLEAR SCIENTIFIC RESEARCH CENTER
2763,YONGBYON NUCLEAR RESEARCH CENTER
2764,YONGBYON NUCLEAR RESEARCH CENTER
2765,YONGBYON NUCLEAR SCIENTIFIC RESEARCH CENTER
2766,ĊENTRU TA' RIĊERKA XJENTIFIKA NUKLEARI TA' YONGBYON
2767,YONGBYON SCIENTIFIC NUCLEAR RESEARCH CENTER
2768,YONGBYON CENTER FOR SCIENTIFIC NUCLEAR RESEARCH
2769,YONGBYON NUCLEAR SCIENTIFIC RESEARCH CENTER
2770,YONGBYON CENTRE FOR NUCLEAR SCIENTIFIC RESEARCH
2771,JONGBYON SCIENTIFIC CENTRE FOR NUCLEAR RESEARCH
2772,YONGBYON NUCLEAR SCIENCE RESEARCH CENTRE
2773,YONGBYON NUCLEAR RESEARCH CENTRE
2774,YONGBYON NUCLEAR RESEARCH CENTRE
2775,YONGBYON NUCLEAR SCIENTIFIC RESEARCH CENTRE
2776,YONGBYON NUCLEAR SCIENCE RESEARCH CENTRE
2777,YONGBYON NUCLEAR SCIENTIFIC RESEARCH CENTRE
2778,YONGBYON SCIENTIFIC NUCLEAR RESEARCH CENTRE
2779,NJONGBYON NUCLEAR RESEARCH CENTRE
2780,KOREA PUGANG MINING AND MACHINERY CORPORATION LTD
2781,KOREAN RYENGWANG TRADING CORPORATION
2782,KOREA RYONGWANG TRADING CORPORATION
2783,SOBAEKU UNITED CORP.
2784,SOBAEKSU UNITED CORP.
2785,SO SANG-KUK
2786,SO SANG KUK
2787,서상국
2788,AHMED ABDI AW-MOHAMED
2789,MUKTAR ABDIRAHMAN ABU ZUBEYR
2790,MUKTAR ABDULRAHIM ABUZUBAIR
2791,AHMED ABDI AW MOHAMMED
2792,AHMED ABDI AW-MOHAMUD
2793,GODANE
2794,GODANI
2795,SHAYKH MUKHTAR
2796,ABU ZUBEYR
2797,AKRAM TURKEY HISHAN AL-MAZIDIH
2798,AKRAM TURKI AL-HISHAN
2799,ABU JARRAH
2800,ABU AKRAM
2801,GHAZY FEZZA HISHAN AL-MAZIDIH
2802,GHAZY FEZZAA HISHAN
2803,MUSHARI ABD AZIZ SALEH SHLASH
2804,ABU FAYSAL
2805,ABU GHAZZY
2806,FARES MOHAMMED MANA'A
2807,FARIS MANA'A
2808,FARES MOHAMMED MANAA
2809,AL-SHABAAB
2810,AL-SHABAB
2811,SHABAAB
2812,THE YOUTH
2813,MUJAHIDIN AL-SHABAAB MOVEMENT
2814,MUJAHIDEEN YOUTH MOVEMENT
2815,MUJAHIDIN YOUTH MOVEMENT
2816,MYM
2817,HARAKAT SHABAB AL-MUJAHIDIN
2818,HIZBUL SHABAAB
2819,HISB'UL SHABAAB
2820,AL-SHABAAB AL-ISLAMIYA
2821,YOUTH WING
2822,AL-SHABAAB AL-ISLAAM
2823,AL-SHABAAB AL-JIHAAD
2824,THE UNITY OF ISLAMIC YOUTH
2825,HARAKAT AL-SHABAAB AL-MUJAAHIDIIN
2826,HARAKATUL SHABAAB AL MUJAAHIDIIN
2827,MUJAAHIDIIN YOUTH MOVEMENT
2828,TINERETUL (THE YOUTH)
2829,AL-SHABAAB MUJAHIDEEN MOVEMENT
2830,MUJAHIDEEN YOUTH MOVEMENT
2831,MUJAHIDEEN YOUTH MOVEMENT
2832,YOUTH WING
2833,ISLAMIC YOUTH UNIT
2834,MUJAHIDIN YOUTH MOVEMENT
2835,QASIM AL-RIMI
2836,QASIM MOHAMED MAHDI AL-RIMI
2837,QASSIM AL-RAYMI
2838,QASIM AL-RAMI
2839,QASIM YAHYA MAHDI 'ABD AL-RIMI
2840,ABU HURAYRAH AL-SANA'AI
2841,ABU 'AMMAR
2842,QASIM AL-RAYMI
2843,ABU HURAYRAH
2844,QASSIM MOHAMMAD MAHDI AL RIMI
2845,QASIM MOHAMMED MAHDI AL REMI
2846,AMIN INDUSTRIAL COMPLEX
2847,AMIN INDUSTRIAL COMPOUND
2848,AMIN INDUSTRIAL COMPANY
2849,AMIN INDUSTRIAL COMPLEX
2850,AMIN INDUSTRIAL COMPLEX
2851,IL-CUMPLESS INDUSTRIAL AMINES
2852,DOOSTAN INTERNATIONAL COMPANY
2853,FARASAKHT INDUSTRIES
2854,FATER INSTITUTE
2855,INSTITUT FATER
2856,FATER INSTITUTE
2857,L-ISTITUT FATER
2858,FAATER INSTITUTE
2859,GHARAGAHE SAZANDEGI GHAEM
2860,GHORB KARBALA
2861,GHORB NOOH
2862,HARA COMPANY
2863,IMENSAZAN CONSULTANT ENGINEERS INSTITUTE
2864,IMENSAZAN ENGINEERING CONSULTING INSTITUTE
2865,KAVEH CUTTING TOOLS COMPANY
2866,M. BABAIE INDUSTRIES
2867,MAKIN
2868,OMRAN SAHEL
2869,ORIENTAL OIL KISH
2870,PEJMAN INDUSTRIAL SERVICES CORPORATION
2871,RAH SAHEL
2872,RAHAB ENGINEERING INSTITUTE
2873,RAHAB ENGINEERING INSTITUTE
2874,L-ISTITUT TAL-INĠINERIJA RAHAB
2875,SABALAN COMPANY
2876,SAHAND ALUMINUM PARTS INDUSTRIAL COMPANY
2877,SAPICO
2878,SAHEL CONSULTANT ENGINEERS
2879,SAHEL ENGINEERING CONSULTING
2880,SEPANIR
2881,SEPASAD ENGINEERING COMPANY
2882,ENGINEERING COMPANY SEPASAD
2883,SHAHID KARRAZI INDUSTRIES
2884,SHAHID SATARRI INDUSTRIES
2885,SHAHID SATTARI GROUP EQUIPMENT INDUSTRIES
2886,YAZD METALLURGY INDUSTRIES
2887,YAZD AMMUNITION MANUFACTURING AND METALLURGY INDUSTRIES
2888,DIRECTORATE OF YAZD AMMUNITION AND METALLURGY INDUSTRIES.
2889,MOHAMMAD REZA MOVASAGHNIA
2890,ESNICO
2891,EQUIPMENT SUPPLIER FOR NUCLEAR INDUSTRIES CORPORATION
2892,ETEMAD AMIN INVEST CO MOBIN
2893,ETEMAD-E MOBIN CONSORTIUM
2894,MOBIN TRUST CONSORTIUM
2895,ETEMADE MOBIN COMPANY
2896,ETEMAD MOBIN TRUST CO.
2897,ETEMAD MOBIN CO.
2898,ETEMAD AMIN INVEST COMPANY MOBIN
2899,ETEMAD-E MOBIN
2900,ETEMAD AMIN INVESTMENT COMPANY MOBIN
2901,FAJR AVIATION COMPOSITE INDUSTRIES
2902,IRAN AIRCRAFT INDUSTRIES
2903,IACI
2904,IRAN AIRCRAFT MANUFACTURING COMPANY
2905,HESA
2906,HESA TRADE CENTER
2907,HTC
2908,IAMCO
2909,IAMI
2910,IRAN AIRCRAFT MANUFACTURING INDUSTRIES
2911,KARKHANEJATE SANAYE HAVAPAYMAIE IRAN
2912,AIR PEYMA SAZI-E IRAN
2913,HAVAPEYMA SAZHRAN
2914,HAVAPEYMA SAZI IRAN
2915,HEVAPEIMASAZI
2916,IRAN CENTRIFUGE TECHNOLOGY COMPANY
2917,TSA
2918,TESA
2919,IRAN CENTRIFUGE TECHNOLOGY COMPANY
2920,IRAN COMMUNICATIONS INDUSTRIES
2921,ICI
2922,IRAN COMMUNICATIONS INDUSTRIES CO.
2923,IRAN COMMUNICATIONS INDUSTRIES GROUP
2924,IRAN COMMUNICATION INDUSTRIES
2925,SANAYE MOKHABERAT IRAN
2926,IRANIAN AVIATION INDUSTRIES ORGANIZATION
2927,IAIO
2928,ISFAHAN OPTICS
2929,JAVEDAN MORE TOOS
2930,PARTO SANAT CO
2931,PASSIVE DEFENSE ORGANIZATION
2932,PASSIVE DEFENCE ORGANISATION
2933,RAKA
2934,SCHILLER NOVIN
2935,SHILLER NOVIN
2936,SCHILLER NOVIN CO.
2937,SCHILER NOVIN CO.
2938,SHAHID AHMAD KAZEMI INDUSTRIAL GROUP (SAKIG)
2939,SHAKHESE BEHBUD SANAT
2940,TECHNOLOGY COOPERATION OFFICE OF THE IRANIAN PRESIDENT’S OFFICE
2941,TCO OF THE IRANIAN PRESIDENT’S OFFICE
2942,OFFICE FOR TECHNOLOGICAL COOPERATION
2943,OFFICE OF TECHNOLOGY COOPERATION
2944,TECHNOLOGY COOPERATION OFFICE (TCO) OF THE OFFICE OF THE PRESIDENT OF IRAN
2945,IRAANI PRESIDENDI KANTSELEI TECHNOLOGY COOPERATION OFFICE (TCO)
2946,OFFICE OF TECHNOLOGICAL COOPERATION OF THE OFFICE OF THE PRESIDENT OF IRAN
2947,CENTER FOR INNOVATION AND TECHNOLOGY
2948,CITC
2949,CENTER OF INNOVATION AND TECHNOLOGY
2950,INNOVATION AND TECHNOLOGY CENTRE
2951,CENTRE FOR INNOVATION AND TECHNOLOGY
2952,OFFICE OF TECHNOLOGY COOPERATION OF THE OFFICE OF THE PRESIDENT OF IRAN
2953,OFFICE OF TECHNOLOGY COOPERATION OF THE OFFICE OF THE PRESIDENT OF IRAN
2954,CENTRE FOR INNOVATION AND TECHNOLOGY
2955,TECHNOLOGY COOPERATION OFFICE (TCO) OF THE IRANIAN PRESIDENTIAL OFFICE
2956,IRANIAN PRESIDENCY'S OFFICE OF TECHNOLOGICAL COOPERATION
2957,INNOVATION AND TECHNOLOGY CENTRE
2958,OFFICE OF TECHNOLOGICAL COOPERATION OF THE IRANIAN PRESIDENCY
2959,ALSO KNOWN AS THE INNOVATION AND TECHNOLOGY CENTRE
2960,TAL-UFFIĊĊJU TAL-PRESIDENT IRANJAN
2961,OFFICE OF TECHNOLOGY COOPERATION IN THE OFFICE OF THE PRESIDENT OF IRAN
2962,INNOVATION AND TECHNOLOGY CENTER
2963,TECHNOLOGICAL COOPERATION OFFICE OF THE IRANIAN PRESIDENCY
2964,CENTER OF INNOVATION AND TECHNOLOGY
2965,TECHNOLOGY COOPERATION OFFICE OF THE OFFICE OF THE PRESIDENT OF IRAN
2966,CENTRE FOR INNOVATION AND TECHNOLOGY
2967,TECHNOLOGY COOPERATION OFFICE (TCO) VID DEN IRANSKE PRESIDENTENS KANSLI
2968,YASA PART
2969,ARFA PAINT COMPANY
2970,ARFEH COMPANY
2971,FARASEPEHR ENGINEERING COMPANY
2972,HOSSEINI NEJAD TRADING CO.
2973,IRAN SAFFRON COMPANY OR IRANSAFFRON CO.
2974,SHETAB G.
2975,SHETAB GAMAN
2976,TAAMIN GOSTARAN PISHGAMAN AZAR
2977,SHETAB TRADING
2978,Y.A.S. CO. LTD
2979,ALI FADAVI
2980,PARVIZ FATAH
2981,MOHAMMAD PAKPUR
2982,ROSTAM QASEMI
2983,ROSTAM GHASEMI
2984,ROSTAM QASSEMI
2985,HOSSEIN SALAMI
2986,IRANIAN REVOLUTIONARY GUARD CORPS
2987,IRGC
2988,IRGC-AIR FORCE AL-GHADIR MISSILE COMMAND
2989,AIR FORCES OF THE ISLAMIC REVOLUTIONARY GUARD CORPS - AL GHADIR MISSILE COMMAND.
2990,IRGC AIR FORCE AL-GHADIR MISSILE COMMAND CENTRE
2991,IRGC AL-GHADIR AIR FORCE MISSILE COMMAND
2992,CGRI AIR FORCE AL-GHADIR MISSILE COMMAND
2993,AIR FORCE MISSILE COMMAND IRGC AL-GHADIR
2994,ISLAMIC REVOLUTIONARY GUARD CORPS AL-GHADIR MISSILE COMMAND
2995,IRGC AIR FORCE AL-GHADIR MISSILE COMMAND
2996,KMANDANT TAL-MISSILI TA' AL- GHADIR GĦALL-FORZA TAL-AJRU TAL- IRGC
2997,IRGC AL-GHADIR AIR FORCE COMMAND
2998,IRGG AIR FORCE
2999,NASERIN VAHID
3000,IRGC QODS FORCE
3001,QUDS FORCE IN THE ISLAMIC REVOLUTIONARY GUARD CORPS
3002,IRGC QODS FORCE
3003,QODS FORCES OF THE IRG
3004,CGRI'S QODS FORCE
3005,AL-QUDS FORCE OF THE ISLAMIC REVOLUTIONARY GUARDS CORPS
3006,ISLAMIC REVOLUTIONARY GUARD CORPS QODS FORCE
3007,IRGC QODS FORCES
3008,SEPANIR OIL AND GAS ENERGY ENGINEERING COMPANY
3009,SEPAH NIR
3010,AMIR ABDULLAH
3011,AMIR ABDULLAH SAHIB
3012,ANWAR NASSER ABDULLA AL-AULAQI
3013,ANWAR AL-AULAQI
3014,ANWAR AL-AWLAKI
3015,ANWAR AL-AWLAQI
3016,ANWAR NASSER AULAQI
3017,ANWAR NASSER ABDULLAH AULAQI
3018,ANWAR NASSER ABDULLA AULAQI
3019,GUL AGHA ISHAKZAI
3020,MULLAH GUL AGHA
3021,MULLAH GUL AGHA AKHUND
3022,HIDAYATULLAH
3023,HAJJ HIDAYATULLAH
3024,HAYADATULLAH
3025,HARAKAT-UL JIHAD ISLAMI
3026,HUJI
3027,MOVEMENT OF ISLAMIC HOLY WAR
3028,HARKAT-UL-JIHAD-AL ISLAMI
3029,HARKAT-UL-JEHAD-AL-ISLAMI
3030,HARAKAT UL JIHAD-E-ISLAMI
3031,HARAKAT-UL-ANSAR
3032,HUA
3033,HARKAT-AL-JIHAD-UL ISLAMI
3034,ISLAMIC HOLY WAR MOVEMENT
3035,ISLAMIC HOLY WAR MOVEMENT
3036,THE ISLAMIC HOLY WAR MOVEMENT
3037,ABDUL HABIB
3038,ABDUL HABIB ALIZAI
3039,HAJJI AGHA JAN
3040,AGHA JAN ALAZAI
3041,HAJI LOI LALA
3042,LOI AGHA
3043,AGHA JAN ALIZAI
3044,HAJI AGHA JANALIZAI
3045,SALEH MOHAMMAD KAKAR AKHTAR MUHAMMAD
3046,SALEH MOHAMMAD
3047,LEODOMIR MUGARAGU
3048,MANZI LEON
3049,LEO MANZI
3050,FÉLICIEN NSANZUBUKIRE
3051,FRED IRAKEZA
3052,INNOCENT ZIMURINDA
3053,ZIMULINDA
3054,GREEN PINE ASSOCIATED CORPORATION
3055,SAENG PIL TRADING CORPORATION
3056,NATIONAL RESOURCES DEVELOPMENT AND INVESTMENT CORPORATION
3057,SAEINGP'IL COMPANY
3058,NATURAL RESOURCES DEVELOPMENT AND INVESTMENT CORPORATION
3059,KU'M- HAERYONG COMPANY LTD
3060,JINDALLAE
3061,CHOSUN CHAWO'N KAEBAL T'UJA HOESA
3062,CH'O'NGSONG YO'NHAP
3063,CHONGSONG YONHAP
3064,CHO'NGSONG UNITED TRADING COMPANY
3065,KOREA HEUNGJIN TRADING COMPANY
3066,HUNJIN TRADING CO.
3067,KOREA HENJIN TRADING CO.
3068,KOREA HENGJIN TRADING COMPANY
3069,KOREA TAESONG TRADING COMPANY
3070,SECOND ECONOMIC COMMITTEE
3071,JON IL-CHUN
3072,JON THE CHUN
3073,전일춘
3074,KOREA DAESONG BANK
3075,CHOSON TAESONG UNHAENG
3076,TAESONG BANK
3077,KOREA DAESONG GENERAL TRADING CORPORATION
3078,DAESONG TRADING
3079,DAESONG TRADING COMPANY
3080,KOREA DAESONG TRADING COMPANY
3081,KOREA DAESONG TRADING CORPORATION
3082,SAID JAN 'ABD AL-SALAM
3083,SA'ID JAN 'ABD-AL-SALAM
3084,DILAWAR KHAN ZAIN KHAN
3085,QAZI 'ABDALLAH
3086,QAZI ABDULLAH
3087,IBRAHIM WALID
3088,QASI SA'ID JAN
3089,SAID JHAN
3090,FARHAN KHAN
3091,AZIZ CAIRO
3092,NANGIALI
3093,ZINE EL ABIDINE BEN HAJ HAMDA BEN HAJ HASSEN BEN ALI
3094,LEILA BENT MOHAMED BEN RHOUMA TRABELSI
3095,MONCEF BEN MOHAMED BEN RHOUMA TRABELSI
3096,SOFIENE BEN HABIB BEN HAJ HAMDA BEN ALI
3097,MEHDI BEN TIJANI BEN HAIR HAMDA BEN HAIR HASSEN BEN ALI
3098,MOHAMED BEN MONCEF BEN MOHAMED TRABELSI
3099,FAHD MOHAMED SAKHER BEN MONCEF BEN MOHAMED HFAIEZ MATERIAL
3100,NESRINE BENT ZINE EL ABIDINE BEN HAJ HAMDA BEN ALI
3101,HALIMA BENT ZINE EL ABIDINE BEN HAJ HAMDA BEN ALI
3102,NAOUFEL BEN HABIB BEN BOUALI LTAIEF
3103,BELHASSEN BEN MOHAMED BEN RHOUMA TRABELSI
3104,IMED BEN HABIB BEN BOUALI LTAIEF
3105,MOHAMED NACEUR BEN MOHAMED BEN RHOUMA TRABELSI
3106,JALILA BENT MOHAMED BEN RHOUMA TRABELSI
3107,GHAZOUA BENT HAMED BEN TAHER BOUAOUINA
3108,MOHAMED IMED BEN MOHAMED NACEUR BEN MOHAMED TRABELSI
3109,DOURAIED BEN HAMED BEN TAHER BOUAOUINA
3110,MOHAMED ADEL BEN MOHAMED BEN REHOUMA TRABELSI
3111,NAJET BENT SLAHEDDINE BEN HAJ HAMDA BEN ALI
3112,MOHAMED MOURAD BEN MOHAMED BEN REHOUMA TRABELSI
3113,SAMIRA BENT MOHAMED BEN RHOUMA TRABELSI
3114,MOHAMED MONTASSAR BEN KBAIER BEN MOHAMED MEHERZI
3115,NAJMEDDINE BEN SLAHEDDINE BEN HAJ HAMDA BEN ALI
3116,NEFISSA BENT MOHAMED BEN RHOUMA TRABELSI
3117,HAMDA BEN SLAHEDDINE BEN HAJ HAMDA BEN ALI
3118,KAÏS BEN SLAHEDDINE BEN HAJ HAMDA BEN ALI
3119,HABIB BEN KADDOUR BEN MUSTAPHA BEN ZAKIR
3120,SLAHEDDINE BEN HAJ HAMDA BEN HAJ HASSEN BEN ALI
3121,MOEZ BEN MONCEF BEN MOHAMED TRABELSI
3122,NAJET BENT HAIR HAMDA BEN RAJ HASSEN BEN ALI
3123,LILIA BENT NOUREDDINE BEN AHMED NACEF
3124,HAYET BENT HAIR HAMDA BEN HAIR HASSEN BEN ALI
3125,MOURAD BEN HÉDI BEN ALI MEHDOUI
3126,FAOUZI BEN HAIR HAMDA BEN HAIR HASSEN BEN ALI
3127,HOUSSEM BEN MOHAMED NACEUR BEN MOHAMED TRABELSI
3128,FARID BEN HAIR HAMDA BEN HAIR HASSEN BEN ALI
3129,SLIM BEN MOHAMED SALAH BEN AHMED ZARROUK
3130,GHAZOUA BENT ZINE EL ABIDINE BEN HAJ HAMDA BEN ALI
3131,MEHDI BEN RIDHA BEN MOHAMED BEN GAIED
3132,MOHAMED SLIM BEN MOHAMED HASSEN BEN SALAH CHIBOUB
3133,DORSAF BENT ZINE EL ABIDINE BEN HAJ HAMDA BEN ALI
3134,ABU SHAARIYA
3135,ABDULQADER YUSEF DIBRI
3136,ABU ZAYD UMAR DORDA
3137,DORDA ABUZED OE
3138,MATUQ MOHAMMED MATUQ
3139,SAYYID MOHAMMED QADHAF AL-DAM
3140,SAYYID MOHAMMED KADDAF AL-DAM
3141,SAYYID MOHAMMED GADDAF AL-DAM
3142,SAADI QADHAFI
3143,SAIF AL-ARAB QADHAFI
3144,ABDULLAH AL-SENUSSI
3145,ABDOULLAH OULD AHMED
3146,BASHIR SALEH BASHIR ALSHARGAWI
3147,MOHAMMED BOUCHARAYA FARKASH
3148,DOKU KHAMATOVICH UMAROV
3149,DOKU KHAMATOVICH UMAROV
3150,DOKU CHAMATOVICH UMAROV
3151,DOKU HAMATOVICH UMAROV
3152,LOM-ALI BUTAYEV (BUTAEV)
3153,MOHAMED ABOU EL-KASSIM ZOUAI
3154,MOHAMAD MAHMOUD HIJAZI
3155,ABDELHAFIZ ZLITNI
3156,MOHAMAD ALI HOUEJ
3157,IBRAHIM ZARROUG AL-CHARIF
3158,ABDELKEBIR MOHAMAD FAKHIRI
3159,ABDALLAH MANSOUR
3160,LIBYAN ARAB AFRICAN INVESTMENT COMPANY - LAAICO
3161,GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION
3162,WAATASSIMOU FOUNDATION
3163,LIBYAN JAMAHIRYA BROADCASTING CORPORATION
3164,REVOLUTIONARY GUARD CORPS
3165,IURY LEANIDAVICH SIVAKAU
3166,YURI LEONIDOVICH SIVAKOV
3167,YURY LEANIDOVICH SIVAKAU
3168,YURI LEANIDAVITJ SIVAKOU
3169,YURI LEANIDAVITJ SIVAKAU
3170,IURY LEONIDOVICH SIVAKOV
3171,YURI LEONIDOVICH SIVAKOV
3172,YURI LEANIDAVICH SIVAKOU
3173,YURY LEANIDOVICH SIVAKOU
3174,YURI LEANIDAVICH SIVAKAU
3175,YURI LEONIDOVICH SIVAKOV
3176,IBRAHIM HASSAN TALI AL-ASIRI
3177,IBRAHIM HASSAN TALI ASIRI
3178,IBRAHIM HASAN TALEA ASEERI
3179,IBRAHIM HASSAN AL-ASIRI
3180,IBRAHIM HASAN TALI ASIRI
3181,IBRAHIM HASSAN TALI ASSYRIANS
3182,IBRAHIM HASAN TALI'A 'ASIRI
3183,IBRAHIM HASAN TALI AL-'ASIRI
3184,IBRAHIM HASSAN AL ASIRI
3185,ABU SALEH
3186,ABOSSLAH
3187,ABU-SALAAH
3188,IBRAHIM AL-'ASIRI
3189,ESMAIL AHMADI-MOQADDAM
3190,HOSSEIN ALLAHKARAM
3191,ABDOLLAH ARAGHI
3192,ABDOLLAH ERAGHI
3193,OR FAZLI
3194,MOHAMMAD-ALI JAFARI
3195,AZIZ JAFARI
3196,ALI KHALILI
3197,BAHRAM HOSSEIN MOTLAGH
3198,MOHAMMAD-REZA NAQDI
3199,AHMAD-REZA RADAN
3200,AZIZOLLAH RAJABZADEH
3201,HOSSEIN SAJEDI-NIA
3202,HOSSEIN TAEB
3203,SEYEED HASSAN SHARIATI
3204,GHORBAN-ALI DORRI-NADJAFABADI
3205,HODJATOLESLAM SEYED MOHAMMAD SOLTANI
3206,ALI-AKBAR HEYDARIFAR
3207,ABBAS JAFARI-DOLATABADI
3208,MOHAMMAD MOGHISSEH
3209,MOHAMMAD NASSERIAN
3210,GHOLAM-HOSSEIN MOHSENI-EJEI
3211,SAID MORTAZAVI
3212,SAEED MORTAZAVI
3213,AMIR MORTAZAVI
3214,ABDOLGHASSEM SALAVATI
3215,ALI-AKBAR YASAGHI
3216,MOSTAFA BOZORGNIA
3217,GHOLAM-HOSSEIN ESMAILI
3218,GHOLAM HOSSEIN ESMAILI
3219,FARAJOLLAH SEDAQAT
3220,FARAJOLLAH SEDAGHAT
3221,MOHAMMAD-ALI ZANJIREI
3222,QUREN SALIH QUREN AL QADHAFI
3223,FALSE EGREEN
3224,QU'REN SALIH QU'REN AL QADHAFI
3225,QURAYN SALIH QURAYN AL QADHAFI
3226,AKRIN AKRIN SALEH
3227,QUREN SALIH QUREN AL GADAFI
3228,KUREN SALAH KUREN AL KADDAFI
3229,QUREN SALIH QUREN GADDAFI
3230,AMID HUSAIN AL UP TO
3231,LIBYAN AGRICULTURAL BANK
3232,AGRICULTURAL BANK
3233,AL MASRAF AL ZIRAE AGRICULTURAL BANK
3234,AL MASRAF AL ZIRAE
3235,AL-INMA HOLDING CO. FOR SERVICES INVESTMENTS
3236,AL-INMA HOLDING CO. FOR INDUSTRIAL INVESTMENTS
3237,AL-INMA HOLDING COMPANY FOR TOURISM INVESTMENT
3238,AL-INMA HOLDING CO. FOR CONSTRUCTION AND REAL ESTATE DEVELOPMENTS
3239,LAP GREEN NETWORKS
3240,LAP GREEN HOLDING COMPANY
3241,SABTINA LTD
3242,ASHTON GLOBAL INVESTMENTS LIMITED
3243,CAPITANA SEAS LIMITED
3244,KINLOSS PROPERTY LIMITED
3245,BAROQUE INVESTMENTS LIMITED
3246,ALI MAMLUK
3247,"""علي المملوك"
3248,ABU AYHAM
3249,ALI AL-MAMLOUK
3250,ALI MAMLOUK
3251,MOHAMMAD IBRAHIM AL-SHA'AR
3252,MOHAMMED DIB ZEITOUN
3253,MUHAMMAD DIB ZAYTUN
3254,MOHAMED DIB ZEITUN
3255,محمد ديب زيتون
3256,AMJAD AL-ABBAS
3257,AMJAD ABBAS
3258,أمجد عباس
3259,RAMI MAKHLOUF
3260,رامي مخلوف
3261,ABD AL-FATAH QUDSIYAH
3262,عبد الفتاح قدسية
3263,JAMIL HASSAN
3264,JAMEEL HASSAN
3265,JAMIL AL-HASSAN
3266,JAMEEL AL-HASSAN
3267,جميل حسن
3268,MUNZIR JAMIL AL-ASSAD
3269,MONZER JAMIL AL-ASSAD
3270,MUNDHIR JAMIL AL-ASSAD
3271,منذر جميل الأسد
3272,BENA PROPERTIES
3273,SHAHID BEHESHTI UNIVERSITY
